Level	TM-scoreA	 TM-scoreB
0	0.51338	0.51338
1	0.9347085288270434	0.9703741941117491
2	0.8592089341397953	0.9732362252098519
3	(0.7526309877105853-0.0021678135177619347j)	0.9039203654360882
